StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,cute_calm,cute_nerv,cute_happy,cute_scared,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,scary_calm,scary_nerv,scary_scared,scary_happy,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,order,animal
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Happy,Click on the number following each adjective that best reflects how you are feeling. - Scared,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Scared,Click on the number following each adjective that best reflects how you are feeling. - Happy,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,order,animal
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""order""}","{""ImportId"":""animal""}"
2021-09-02 09:46:06,2021-09-02 09:47:13,0,144.121.36.209,100,67,1,2021-09-02 09:47:14,R_4NMapeELmvk16sV,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,,,,,4,1,5,2,,,,,1,4,4,1,0,0,1.693,0,0,0,3.362,0,cute_scary,dog
2021-09-02 09:52:34,2021-09-02 09:53:06,0,144.121.36.209,100,32,1,2021-09-02 09:53:07,R_Um428Nz0f5Buz9T,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,,,,,4,1,5,1,,,,,2,2,2,3,0,0,3.309,0,0,0,3.245,0,cute_scary,dog
2021-09-02 09:52:04,2021-09-02 09:53:09,0,144.121.36.212,100,64,1,2021-09-02 09:53:09,R_2xQAIriwJKegmH0,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,,,,,5,1,5,1,,,,,5,1,1,3,0,0,5.11,0,0,0,5.006,0,scary_cute,dog
2021-09-02 09:52:39,2021-09-02 09:53:15,0,144.121.36.212,100,36,1,2021-09-02 09:53:15,R_2c5GMItoyPWgYeL,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,,,,,3,1,5,1,,,,,1,2,3,1,0,0,1.506,0,0,0,5.009,0,scary_cute,dog
2021-09-02 09:52:25,2021-09-02 09:53:16,0,144.121.36.211,100,50,1,2021-09-02 09:53:16,R_VVzgNyIlz3Czctj,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,0,0,1.803,0,5,1,5,1,0,0,4.057,0,4,1,1,4,,,,,,,,,scary_cute,cat
2021-09-02 09:52:11,2021-09-02 09:53:16,0,144.121.36.211,100,65,1,2021-09-02 09:53:16,R_3sig9XwIzqNaipJ,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,0,0,2.919,0,3,1,3,1,0,0,1.763,0,3,1,1,2,,,,,,,,,cute_scary,cat
2021-09-02 09:52:26,2021-09-02 09:53:17,0,144.121.36.212,100,50,1,2021-09-02 09:53:17,R_diLAGK385CWh8UF,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,0,0,1.749,0,4,1,5,1,0,0,5.128,0,4,2,1,4,,,,,,,,,scary_cute,cat
2021-09-02 09:52:47,2021-09-02 09:53:17,0,144.121.36.211,100,29,1,2021-09-02 09:53:17,R_cIyh8BS4JfTtXQ5,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,0,0,2.382,0,5,1,4,1,0,0,2.601,0,1,2,2,1,,,,,,,,,scary_cute,cat
2021-09-02 09:52:34,2021-09-02 09:53:19,0,144.121.36.210,100,45,1,2021-09-02 09:53:19,R_0kMEopRc0j1rohr,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,,,,,4,1,3,1,,,,,1,4,3,1,0,0,1.307,0,0,0,2.206,0,scary_cute,dog
2021-09-02 09:52:28,2021-09-02 09:53:22,0,144.121.36.210,100,54,1,2021-09-02 09:53:22,R_A4HovgvTFGdpB1n,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,0,0,5.019,0,5,1,2,4,0,0,2.551,0,1,5,4,1,,,,,,,,,cute_scary,cat
