StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,cute_calm,cute_nerv,cute_happy,cute_scared,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,scary_calm,scary_nerv,scary_scared,scary_happy,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,order,animal
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Happy,Click on the number following each adjective that best reflects how you are feeling. - Scared,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Scared,Click on the number following each adjective that best reflects how you are feeling. - Happy,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,order,animal
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""order""}","{""ImportId"":""animal""}"
2021-01-03 14:13:28,2021-01-03 14:14:43,0,160.2.103.141,100,74,1,2021-01-03 14:14:43,R_e9FrcmQ4CtaRINb,,,,,43.5780029296875,-116.2953948974609375,anonymous,EN,0,0,5.011,0,3,1,4,1,0,0,5.109,0,3,3,3,2,,,,,,,,,scary_cute,cat
2021-01-04 05:35:19,2021-01-04 05:59:41,0,43.245.222.66,100,1461,1,2021-01-04 05:59:41,R_3szj60qTiHAZ6QM,,,,,22.2794952392578125,114.14599609375,anonymous,EN,,,,,2,5,2,5,,,,,1,5,5,1,0,0,2.074,0,0,0,1.902,0,cute_scary,dog
2021-01-04 07:15:27,2021-01-04 07:16:08,0,174.62.218.137,100,41,1,2021-01-04 07:16:08,R_3iIjoJ5nVJHRT3i,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,,,,,3,2,3,1,,,,,2,3,4,1,0,0,2.257,0,0,0,3.319,0,scary_cute,dog
2021-01-04 08:31:08,2021-01-04 08:32:53,0,71.150.180.77,100,104,1,2021-01-04 08:32:53,R_3vEs6Hsg42kRRSN,,,,,32.8444976806640625,-79.8242034912109375,anonymous,EN,,,,,4,1,3,1,,,,,3,2,2,2,0,0,5.008,0,0,0,5.007,0,cute_scary,dog
2021-01-04 08:32:27,2021-01-04 08:33:03,0,160.2.103.141,100,36,1,2021-01-04 08:33:04,R_1rP20hgMTWN4vfg,,,,,43.5780029296875,-116.2953948974609375,anonymous,EN,0,0,2.221,0,4,1,4,1,0,0,3.82,0,3,4,3,2,,,,,,,,,scary_cute,cat
2021-01-04 08:32:28,2021-01-04 08:33:08,0,74.64.117.187,100,40,1,2021-01-04 08:33:08,R_3Pc0mcDKSE3zSdW,,,,,40.782806396484375,-73.9745025634765625,anonymous,EN,,,,,2,3,2,1,,,,,1,3,2,1,0,0,1.152,0,0,0,2.619,0,cute_scary,dog
2021-01-04 08:32:34,2021-01-04 08:33:10,0,174.62.219.112,100,35,1,2021-01-04 08:33:10,R_2tmQWCA2zNwXvpY,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,,,,,4,2,3,1,,,,,4,3,2,4,3.604,3.604,4.922,1,0,0,2.059,0,cute_scary,dog
2021-01-04 08:25:19,2021-01-04 08:33:17,0,216.24.186.201,100,477,1,2021-01-04 08:33:17,R_yX7gsI377uwJw3v,,,,,34.048492431640625,-118.252899169921875,anonymous,EN,,,,,5,1,5,1,,,,,1,5,5,1,0,0,5.063,0,0,0,2.857,0,scary_cute,dog
2021-01-04 08:32:45,2021-01-04 08:33:22,0,74.75.86.77,100,36,1,2021-01-04 08:33:22,R_1Id8oAbtIQnKi8Z,,,,,42.9629974365234375,-72.29290008544921875,anonymous,EN,0.546,1.002,2.847,2,5,1,3,1,0,0,2.428,0,5,1,2,2,,,,,,,,,cute_scary,cat
2021-01-04 08:32:20,2021-01-04 08:33:23,0,68.173.149.213,100,62,1,2021-01-04 08:33:24,R_2zT0v4sNWzNNzyG,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,,,,,4,2,5,1,,,,,1,4,4,1,0,0,3.567,0,0,0,2.039,0,cute_scary,dog
