Data,Time,Worms,Species,Concentration
99.1,1,1,1,1
95.3,1,2,1,1
100,1,3,1,1
100.4,1,4,1,1
99.02,1,5,1,1
95.4,1,6,1,1
100.55,1,7,2,1
96,1,8,2,1
99,1,9,2,1
108.89,1,10,2,1
101.15,1,11,2,1
95.5,1,12,2,1
114.92,1,13,1,2
103.6,1,14,1,2
123,1,15,1,2
104.54,1,16,1,2
106.77,1,17,1,2
116,1,18,1,2
113.8,1,19,2,2
102,1,20,2,2
115,1,21,2,2
123.25,1,22,2,2
113.36,1,23,2,2
103.01,1,24,2,2
123.4,1,25,1,3
117.6,1,26,1,3
134.8,1,27,1,3
108.23,1,28,1,3
112.04,1,29,1,3
125,1,30,1,3
142.76,1,31,2,3
127.3,1,32,2,3
149.5,1,33,2,3
148.27,1,34,2,3
122.76,1,35,2,3
144,1,36,2,3
99.1,2,1,1,1
90.6,2,2,1,1
100,2,3,1,1
100,2,4,1,1
99.15,2,5,1,1
93.2,2,6,1,1
100,2,7,2,1
97,2,8,2,1
88,2,9,2,1
100.8,2,10,2,1
101.79,2,11,2,1
92,2,12,2,1
121.63,2,13,1,2
105.6,2,14,1,2
125,2,15,1,2
110.2,2,16,1,2
111.76,2,17,1,2
120,2,18,1,2
122.17,2,19,2,2
104,2,20,2,2
117,2,21,2,2
134.8,2,22,2,2
122.14,2,23,2,2
108,2,24,2,2
139.5,2,25,1,3
128.3,2,26,1,3
154.7,2,27,1,3
117.6,2,28,1,3
121.51,2,29,1,3
112,2,30,1,3
174.48,2,31,2,3
152,2,32,2,3
178.6,2,33,2,3
168.9,2,34,2,3
129.97,2,35,2,3
177,2,36,2,3
100.46,3,1,1,1
88.6,3,2,1,1
99.6,3,3,1,1
100,3,4,1,1
98.56,3,5,1,1
93.2,3,6,1,1
102.21,3,7,2,1
95,3,8,2,1
99.7,3,9,2,1
95.6,3,10,2,1
101.15,3,11,2,1
92,3,12,2,1
127.07,3,13,1,2
106.9,3,14,1,2
133,3,15,1,2
113.6,3,16,1,2
115.14,3,17,1,2
121,3,18,1,2
127.6,3,19,2,2
108,3,20,2,2
120,3,21,2,2
158.1,3,22,2,2
127.68,3,23,2,2
112,3,24,2,2
152.2,3,25,1,3
137.6,3,26,1,3
156.4,3,27,1,3
129.4,3,28,1,3
128.56,3,29,1,3
155,3,30,1,3
188.28,3,31,2,3
157.7,3,32,2,3
178.9,3,33,2,3
175.8,3,34,2,3
131.89,3,35,2,3
191,3,36,2,3
100.46,4,1,1,1
87,4,2,1,1
98.35,4,3,1,1
101,4,4,1,1
97.15,4,5,1,1
92.5,4,6,1,1
99.72,4,7,2,1
90,4,8,2,1
91.5,4,9,2,1
104,4,10,2,1
100,4,11,2,1
90,4,12,2,1
115.13,4,13,1,2
98,4,14,1,2
118,4,15,1,2
112,4,16,1,2
111.68,4,17,1,2
112,4,18,1,2
118.55,4,19,2,2
101,4,20,2,2
119,4,21,2,2
125,4,22,2,2
121,4,23,2,2
105,4,24,2,2
142.32,4,25,1,3
124.3,4,26,1,3
149.2,4,27,1,3
118,4,28,1,3
122.3,4,29,1,3
138,4,30,1,3
176.9,4,31,2,3
150,4,32,2,3
177,4,33,2,3
158,4,34,2,3
122.9,4,35,2,3
177,4,36,2,3
